Start,End,Open,High,Low,Close,Volume,Market Cap
2025-12-02,2025-12-03,86317.59,92253.9,86220.03,91279.88,90800618533.38327,1769154636427.965
2025-12-01,2025-12-02,89918.97,89918.97,83930.25,86277.99,89677237431.18816,1718476658749.9373
2025-11-30,2025-12-01,90844.71,91954.91,90395.4,90395.4,31105592503.763065,1819545940026.244
2025-11-29,2025-11-30,90951.13,91102.04,90228.56,90822.83,51089258257.47387,1810296313711.3135
2025-11-28,2025-11-29,91198.17,92937.17,90251.89,90954.11,65821286647.53658,1822350172123.8293
2025-11-27,2025-11-28,90418,91832.04,90179.01,91293.26,94344388864.4007,1820918030980.3484
2025-11-26,2025-11-27,87557.77,90575.95,86422.99,90512.74,82579085781.71777,1757398305728.4321
2025-11-25,2025-11-26,88133.97,88512.98,86254.26,87388.48,84791054162.63066,1745086983283.8362
2025-11-24,2025-11-25,86639.63,89201.62,85485.02,88271.06,91199962359.14285,1740523615420.4495
2025-11-23,2025-11-24,84926.19,87992.07,84926.19,86808.22,71720314334.59233,1726712912588.2368
2025-11-22,2025-11-23,85294.51,85598.03,83533.46,84723.57,123101526759.88153,1683994295010.5088
2025-11-21,2025-11-22,86737.49,87402.99,80847.48,85155.8,169696946365.88928,1688847487703.1
2025-11-20,2025-11-21,91446.05,93008.37,86116.51,86798.04,110370368587.14635,1804051239210.3345
2025-11-19,2025-11-20,92677.96,92799.46,88626.08,91467.91,97780768610.46341,1815620210017.195
2025-11-18,2025-11-19,92276,93787.8,89467.73,92861.02,163835786257.18118,1831316500688.7595
2025-11-17,2025-11-18,94217.07,95989.17,91400,92147.19,126652313855.79094,1880344241343.2021
2025-11-16,2025-11-17,95604.52,96630.01,93050.01,94514.76,60231986261.01394,1899544000085.1846
2025-11-15,2025-11-16,94997.55,96697.8,94824.18,95570.93,124644658046.71428,1913165645297.92
2025-11-14,2025-11-15,99621.9,99828.83,94240.03,94578.47,152517582896.81882,1930107432566.8396
2025-11-13,2025-11-14,101726,103931,98094.69,99790.5,100889277942.01045,2026421060799.331
2025-11-12,2025-11-13,103268,105229,101033,101540,99676914774.18466,2057441841488.85
2025-11-11,2025-11-12,105985,107291,102503,102984,120103626665.20906,2086367102855.575
2025-11-10,2025-11-11,104327,106560,104327,105946,101449378596.14635,2112777030500.7388
2025-11-09,2025-11-10,102325,105144,101501,104753,67078440614.560974,2051104698063.9373
2025-11-08,2025-11-09,103154,103406,101479,102323,91978315139.36934,2040557776826.425
2025-11-07,2025-11-08,101490,103993,99369,103445,100604296728.48781,2029882355679.3555
2025-11-06,2025-11-07,103616,104086,100553,101383,80825603848,2045263990349.805
2025-11-05,2025-11-06,101366,104520,99012.91,103906,156683165513.40765,2044774142207.2996
2025-11-04,2025-11-05,106507,107280,99145.57,101654,122894382983.17421,2069341477102.38
2025-11-03,2025-11-04,110579,110718,105350,106569,72106261873.43509,2145880145292.014
2025-11-02,2025-11-03,110042,111197,109530,110628,41283062156.59233,2200332292396.6724
2025-11-01,2025-11-02,109444,110466,109432,110053,61303892671.47735,2195489379057.8083
2025-10-31,2025-11-01,108466,111094,108421,109620,107878524153.82579,2186905338339.7283
2025-10-30,2025-10-31,109986,111537,106370,108234,132996275825.01743,2174241074696.6062
2025-10-29,2025-10-30,112870,113560,109837,110006,108915969461.6899,2239007229906.3
2025-10-28,2025-10-29,113956,116000,112463,112955,78944161484.08711,2277602875071.3657
2025-10-27,2025-10-28,114732,116073,113860,114173,105751325299.63763,2295338032585.711
2025-10-26,2025-10-27,111584,114902,111260,114480,70342078364.31708,2248613520485.181
2025-10-25,2025-10-26,111001,111916,110698,111615,49297397503.26132,2221730381157.209
2025-10-24,2025-10-25,110106,111584,109918,110982,71558169531.86833,2208926837768.477
2025-10-23,2025-10-24,107598,111253,107597,110030,93112037332.74565,2181186842891.7979
2025-10-22,2025-10-23,108454,108898,106794,107617,129342213832.05923,2153555556798.5051
2025-10-21,2025-10-22,110406,113766,107535,108529,98492464205.50174,2187856554943.0383
